City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Uige,AO,2021-12-17 04:33:45,-7.6087,15.0613,66.16,99,100,2.04
98,Zhigansk,RU,2021-12-17 04:33:46,66.7697,123.3711,-33.83,97,100,1.86
99,Castro,BR,2021-12-17 04:33:46,-24.7911,-50.0119,66.11,99,15,5.7
100,Havoysund,NO,2021-12-17 04:33:46,70.9963,24.6622,31.08,78,75,4.65
101,Port-Cartier,CA,2021-12-17 04:33:47,50.0334,-66.8654,35.82,97,100,7.34
102,Cape Town,ZA,2021-12-17 04:30:45,-33.9258,18.4232,61.11,70,0,5.01
103,Bontang,ID,2021-12-17 04:33:47,0.1333,117.5,88.32,66,100,6.67
104,Awjilah,LY,2021-12-17 04:33:47,29.1081,21.2869,50.54,68,19,5.21
105,San Patricio,US,2021-12-17 04:33:48,28.017,-97.5169,75.06,87,70,12.55
106,Dingle,PH,2021-12-17 04:33:48,10.9995,122.6711,82.26,81,100,12.28
107,Nishihara,JP,2021-12-17 04:33:48,26.1842,127.7558,68.05,68,75,21.85
108,Fondi,IT,2021-12-17 04:33:49,41.3541,13.4313,48.81,71,1,4.5
109,Lata,PT,2021-12-17 04:33:49,40.1629,-8.3327,52.81,75,31,5.48
110,Ciudad Bolivar,VE,2021-12-17 04:33:49,8.1222,-63.5497,75.31,84,100,9.04
111,Mana,GF,2021-12-17 04:33:50,5.6592,-53.7767,76.15,91,100,4.83
112,Hermon,US,2021-12-17 04:33:50,44.8101,-68.9134,48.43,89,90,0.0
113,Saint-Pierre,RE,2021-12-17 04:33:50,-21.3393,55.4781,82.56,76,75,12.66
114,Shaunavon,CA,2021-12-17 04:33:51,49.6501,-108.4181,4.78,93,100,6.69
115,Tuktoyaktuk,CA,2021-12-17 04:33:51,69.4541,-133.0374,-25.6,68,1,17.27
116,Glace Bay,CA,2021-12-17 04:33:52,46.1969,-59.957,39.6,95,90,11.01
117,Los Llanos De Aridane,ES,2021-12-17 04:24:00,28.6585,-17.9182,56.95,79,0,5.99
118,Dundwaraganj,IN,2021-12-17 04:33:52,27.7333,78.95,64.74,28,68,10.4
119,Srednekolymsk,RU,2021-12-17 04:24:12,67.45,153.6833,-18.42,98,100,4.59
120,Port Hedland,AU,2021-12-17 04:24:08,-20.3167,118.5667,98.65,36,8,19.57
121,Shushenskoye,RU,2021-12-17 04:33:53,53.325,91.9356,15.48,82,100,6.42
122,Aripuana,BR,2021-12-17 04:33:53,-9.1667,-60.6333,72.52,91,64,0.56
123,Sitka,US,2021-12-17 04:33:53,57.0531,-135.33,33.69,80,90,9.22
124,Birao,CF,2021-12-17 04:33:54,10.2849,22.7882,67.66,26,92,9.66
125,Constitucion,CL,2021-12-17 04:29:02,-35.3333,-72.4167,56.41,79,70,3.38
126,Hithadhoo,MV,2021-12-17 04:33:54,-0.6,73.0833,81.99,73,73,4.27
127,Sept-Iles,CA,2021-12-17 04:32:53,50.2001,-66.3821,36.12,88,90,3.0
128,Tiksi,RU,2021-12-17 04:33:55,71.6872,128.8694,-25.92,100,100,3.96
129,Salalah,OM,2021-12-17 04:33:55,17.0151,54.0924,71.69,60,20,5.75
130,Mathbaria,BD,2021-12-17 04:33:55,22.2876,89.9593,75.25,40,4,8.43
131,Ostrovnoy,RU,2021-12-17 04:33:56,68.0531,39.5131,27.86,86,100,9.89
132,Yatou,CN,2021-12-17 04:33:56,37.15,122.3833,28.24,56,82,25.43
133,Alice Springs,AU,2021-12-17 04:33:15,-23.7,133.8833,101.75,13,0,8.05
134,Qasigiannguit,GL,2021-12-17 04:33:57,68.8193,-51.1922,16.05,92,100,6.49
135,Annau,TM,2021-12-17 04:34:57,37.8876,58.516,33.3,60,4,2.3
136,Ziarat,PK,2021-12-17 04:34:57,30.3823,67.7282,36.86,5,6,3.06
137,Kodiak,US,2021-12-17 04:34:58,57.79,-152.4072,35.11,80,90,10.36
138,Saint George,US,2021-12-17 04:20:35,37.1041,-113.5841,37.63,70,1,1.99
139,Pangnirtung,CA,2021-12-17 04:27:48,66.1451,-65.7125,-2.25,81,100,3.71
140,Qaanaaq,GL,2021-12-17 04:34:58,77.484,-69.3632,-2.9,97,100,2.46
141,Esperance,AU,2021-12-17 04:26:38,-33.8667,121.9,75.04,61,27,20.07
142,Nemuro,JP,2021-12-17 04:34:59,43.3236,145.575,32.43,95,100,10.54
143,Mehamn,NO,2021-12-17 04:34:59,71.0357,27.8492,33.75,80,75,9.22
144,Shubarkuduk,KZ,2021-12-17 04:34:59,49.1447,56.4872,27.03,92,93,3.06
145,Nanortalik,GL,2021-12-17 04:25:22,60.1432,-45.2371,24.17,78,81,19.8
146,Port Blair,IN,2021-12-17 04:25:16,11.6667,92.75,82.09,59,9,10.63
147,Ola,RU,2021-12-17 04:35:00,59.5833,151.2833,3.15,83,100,16.04
148,Olafsvik,IS,2021-12-17 04:31:37,64.8945,-23.7142,42.13,80,100,23.33
149,Turayf,SA,2021-12-17 04:35:00,31.6725,38.6637,39.45,93,0,6.91
150,Kruisfontein,ZA,2021-12-17 04:26:28,-34.0033,24.7314,51.89,66,99,6.06
151,Harper,LR,2021-12-17 04:35:01,4.375,-7.7169,78.3,86,23,4.36
152,Longyearbyen,SJ,2021-12-17 04:30:22,78.2186,15.6401,21.04,79,20,4.61
153,Tiarei,PF,2021-12-17 04:35:02,-17.5333,-149.3333,82.0,78,80,15.79
154,Floro,NO,2021-12-17 04:35:02,61.5996,5.0328,42.76,100,90,10.36
