City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Carnarvon,AU,71.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
308,Rawson,AR,80.89,few clouds,-43.3002,-65.1023,Hosteria Sampedro
312,Labrea,BR,77.7,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
313,Kumba,CM,76.51,few clouds,4.6363,9.4469,El Bethel Hotel
314,Kavaratti,IN,81.21,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
319,Dovers,VC,80.19,scattered clouds,12.8833,-61.1833,Ocean Breeze
323,Kirakira,SB,81.66,overcast clouds,-10.4544,161.9205,SanBiz Lodge
326,Araouane,ML,72.64,overcast clouds,18.9048,-3.5265,
337,Palu,ID,74.84,broken clouds,-0.8917,119.8707,Hotel Santika Palu
340,Kimbe,PG,77.18,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
342,Calabar,NG,79.54,few clouds,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
348,Vila Velha,BR,71.55,light intensity drizzle,-20.3297,-40.2925,Quality Suites Vila Velha
353,Pointe Michel,DM,83.34,few clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
357,Majene,ID,77.61,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
359,Kalmunai,LK,75.38,scattered clouds,7.4167,81.8167,VS Villa
367,Fonte Boa,BR,84.52,overcast clouds,-2.4959,-66.2662,
370,Tsabong,BW,77.49,scattered clouds,-26.0217,22.401,Springbok Motel
372,Abancay,PE,74.46,overcast clouds,-13.6339,-72.8814,Siball Hotel
376,Nabire,ID,74.79,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
377,Sibolga,ID,74.41,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
378,Diego De Almagro,CL,76.64,overcast clouds,-26.3667,-70.05,hotel luna del desierto
383,Rock Sound,BS,78.84,clear sky,24.9,-76.2,Rock Sound Club
384,Saint-Pierre,RE,80.28,light rain,-21.3393,55.4781,Lindsey Hôtel
385,Methala,IN,75.2,broken clouds,10.2166,76.2166,Style Homes Holiday Inn
386,Morros,BR,74.21,overcast clouds,-9.4467,-46.3003,
388,Kahului,US,77.02,light rain,20.8947,-156.47,Maui Seaside Hotel
391,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
395,La Union,PE,78.19,overcast clouds,-5.4,-80.75,Los Portales
396,Samarai,PG,81.5,overcast clouds,-10.6167,150.6667,Nuli Sapi
398,Ambulu,ID,77.72,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
400,Namibe,AO,70.52,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
402,Necochea,AR,75.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
403,Bosaso,SO,75.58,few clouds,11.2842,49.1816,Red Sea Hotel
407,Labuhan,ID,79.99,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
408,Cozumel,MX,84.27,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
410,Padang,ID,76.28,light rain,-0.9492,100.3543,Mercure Padang
