City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Kropotkin,RU,2021-12-19 20:24:56,clear sky,45.4375,40.5756,37.08,76,9,13.67
128,Peniche,PT,2021-12-19 20:24:56,overcast clouds,39.3558,-9.3811,61.61,68,100,21.25
129,Muisne,EC,2021-12-19 20:24:57,overcast clouds,0.6,-80.0333,78.91,87,100,11.74
130,Ascension,US,2021-12-19 20:24:57,overcast clouds,30.2169,-90.9001,51.8,82,90,8.05
131,Ribeira Grande,PT,2021-12-19 20:24:58,broken clouds,38.5167,-28.7,59.4,72,75,4.61
132,Awbari,LY,2021-12-19 20:24:58,clear sky,26.5921,12.7805,50.16,51,10,5.7
133,Morant Bay,JM,2021-12-19 20:25:58,scattered clouds,17.8815,-76.4093,83.82,77,33,11.18
134,Sao Filipe,CV,2021-12-19 20:25:59,overcast clouds,14.8961,-24.4956,72.19,82,100,9.78
135,Cerrito,CO,2021-12-19 20:25:59,overcast clouds,6.8432,-72.694,61.99,81,97,1.83
136,La Maddalena,IT,2021-12-19 20:25:59,clear sky,41.2142,9.4083,48.25,73,0,20.31
137,Yellowknife,CA,2021-12-19 20:22:40,scattered clouds,62.456,-114.3525,-14.58,82,40,9.22
138,Novikovo,RU,2021-12-19 20:26:00,light snow,51.1537,37.8879,33.21,98,100,9.89
139,Bonavista,CA,2021-12-19 20:26:00,overcast clouds,48.6499,-53.1147,24.12,69,100,23.85
140,Shimoda,JP,2021-12-19 20:26:01,clear sky,34.6667,138.95,40.1,76,3,12.95
141,Duluth,US,2021-12-19 20:26:01,light snow,46.7833,-92.1066,24.57,78,75,8.99
142,Chokurdakh,RU,2021-12-19 20:26:01,light snow,70.6333,147.9167,-15.74,98,100,10.92
143,Puerto Ayora,EC,2021-12-19 20:26:02,overcast clouds,-0.7393,-90.3518,76.96,85,100,8.32
144,Yei,SS,2021-12-19 20:26:02,broken clouds,4.095,30.6779,76.37,42,77,2.57
145,Mezen,RU,2021-12-19 20:26:02,clear sky,65.8522,44.24,-16.85,94,7,5.57
146,Arraial Do Cabo,BR,2021-12-19 20:26:03,scattered clouds,-22.9661,-42.0278,76.86,69,40,8.05
147,Antofagasta,CL,2021-12-19 20:26:03,overcast clouds,-23.65,-70.4,67.28,72,99,9.15
148,Novorzhev,RU,2021-12-19 20:26:03,overcast clouds,57.0294,29.3338,24.82,87,100,9.53
149,Rehoboth,NA,2021-12-19 20:26:04,clear sky,-23.3167,17.0833,71.31,21,9,11.7
150,Jamestown,US,2021-12-19 20:24:43,scattered clouds,42.097,-79.2353,30.09,75,40,4.0
151,Klaksvik,FO,2021-12-19 20:26:04,overcast clouds,62.2266,-6.589,40.12,76,100,11.86
152,Puerto Colombia,CO,2021-12-19 20:26:05,broken clouds,10.9878,-74.9547,86.09,76,58,18.21
153,Shush,IR,2021-12-19 20:26:05,overcast clouds,32.1942,48.2436,62.24,80,88,7.23
154,Fairmont,US,2021-12-19 20:26:05,overcast clouds,39.4851,-80.1426,35.28,68,99,7.78
155,Severobaykalsk,RU,2021-12-19 20:26:06,scattered clouds,55.65,109.3167,-16.67,92,25,10.0
156,Xining,CN,2021-12-19 20:26:06,few clouds,36.6167,101.7667,22.77,40,16,2.71
157,Bluff,NZ,2021-12-19 20:26:06,overcast clouds,-46.6,168.3333,72.81,53,100,27.85
158,Mukdahan,TH,2021-12-19 20:26:07,overcast clouds,16.5833,104.5,57.72,73,100,4.68
159,Hammerfest,NO,2021-12-19 20:26:07,few clouds,70.6634,23.6821,19.85,93,20,1.14
160,Norman Wells,CA,2021-12-19 20:19:09,light snow,65.282,-126.8329,1.44,78,90,6.91
161,Davila,PH,2021-12-19 20:26:08,overcast clouds,18.4726,120.5763,76.53,85,100,19.39
162,Dutse,NG,2021-12-19 20:26:08,few clouds,11.7594,9.3392,66.02,23,12,9.71
163,Porto Nacional,BR,2021-12-19 20:26:08,overcast clouds,-10.7081,-48.4172,82.4,87,100,2.21
164,Krasnoselkup,RU,2021-12-19 20:26:09,few clouds,65.7,82.4667,-39.84,96,14,4.21
165,Katsuura,JP,2021-12-19 20:26:09,clear sky,35.1333,140.3,37.51,56,0,9.53
166,Georgetown,MY,2021-12-19 20:25:55,few clouds,5.4112,100.3354,77.95,84,20,0.0
167,Altamura,IT,2021-12-19 20:26:09,clear sky,40.8292,16.5537,43.97,75,0,21.99
168,Coquimbo,CL,2021-12-19 20:26:10,broken clouds,-29.9533,-71.3436,64.13,72,75,11.5
169,Santa Marta,CO,2021-12-19 20:26:10,few clouds,11.2408,-74.199,95.05,59,20,15.01
170,Richards Bay,ZA,2021-12-19 20:26:10,overcast clouds,-28.783,32.0377,68.63,75,100,7.31
171,Lazaro Cardenas,MX,2021-12-19 20:26:11,scattered clouds,17.9583,-102.2,84.92,58,35,9.64
172,Alofi,NU,2021-12-19 20:26:11,broken clouds,-19.0595,-169.9187,82.29,74,75,13.8
173,Buala,SB,2021-12-19 20:26:11,overcast clouds,-8.145,159.5921,80.71,82,89,5.68
174,Bocaiuva,BR,2021-12-19 20:26:12,light rain,-17.1078,-43.815,76.71,82,73,3.78
175,Loandjili,CG,2021-12-19 20:26:12,broken clouds,-4.7561,11.8578,80.71,89,75,10.36
176,Nelson Bay,AU,2021-12-19 20:26:12,broken clouds,-32.7167,152.15,77.0,91,68,3.2
177,Hualmay,PE,2021-12-19 20:26:13,scattered clouds,-11.0964,-77.6139,73.0,70,26,11.01
178,Anadyr,RU,2021-12-19 20:26:13,scattered clouds,64.75,177.4833,9.1,72,40,15.66
179,Kokopo,PG,2021-12-19 20:27:13,light rain,-4.352,152.2633,76.69,84,79,3.09
180,Ca Mau,VN,2021-12-19 20:27:14,overcast clouds,9.1769,105.15,73.45,72,100,3.78
181,Milkovo,RU,2021-12-19 20:27:14,overcast clouds,54.7167,158.6167,-4.04,92,100,1.03
182,Roald,NO,2021-12-19 20:27:14,broken clouds,62.5833,6.1333,42.94,75,75,11.5
183,Valkeakoski,FI,2021-12-19 20:27:15,light snow,61.2642,24.0312,25.09,79,100,13.18
184,Nanortalik,GL,2021-12-19 20:27:15,overcast clouds,60.1432,-45.2371,39.69,68,100,29.71
185,Airai,TL,2021-12-19 20:27:15,overcast clouds,-8.9266,125.4092,62.24,94,100,0.72
186,Nynashamn,SE,2021-12-19 20:27:16,light rain,58.9034,17.9479,35.4,84,100,21.12
187,Huarmey,PE,2021-12-19 20:27:16,overcast clouds,-10.0681,-78.1522,73.53,73,97,10.98
188,Bac Lieu,VN,2021-12-19 20:27:16,overcast clouds,9.285,105.7244,73.89,73,100,7.76
189,Saint Anthony,US,2021-12-19 20:27:17,few clouds,45.0205,-93.218,28.09,80,20,7.0
190,Pevek,RU,2021-12-19 20:27:17,light snow,69.7008,170.3133,-8.88,98,100,7.23
191,Traralgon,AU,2021-12-19 20:27:18,broken clouds,-38.1833,146.5333,56.17,70,82,7.0
192,Hasaki,JP,2021-12-19 20:27:18,clear sky,35.7333,140.8333,28.8,54,7,10.47
193,Ahipara,NZ,2021-12-19 20:27:18,clear sky,-35.1667,173.1667,64.99,67,2,2.93
194,New Norfolk,AU,2021-12-19 20:27:19,overcast clouds,-42.7826,147.0587,58.91,59,97,3.0
195,Bambanglipuro,ID,2021-12-19 20:27:19,overcast clouds,-7.95,110.2833,64.6,93,100,1.52
196,Vao,NC,2021-12-19 20:27:19,overcast clouds,-22.6667,167.4833,76.51,86,100,13.31
197,Mar Del Plata,AR,2021-12-19 20:19:07,scattered clouds,-38.0023,-57.5575,80.62,85,40,1.99
198,Ekhabi,RU,2021-12-19 20:27:20,clear sky,53.5102,142.9671,-8.91,86,5,11.7
199,Oktyabrskiy,RU,2021-12-19 20:27:20,overcast clouds,54.4815,53.471,19.74,95,100,6.69
200,Puerto Lempira,HN,2021-12-19 20:27:20,scattered clouds,15.2667,-83.7667,82.54,78,40,9.22
201,Dwarka,IN,2021-12-19 20:27:21,clear sky,22.2394,68.9678,70.23,46,7,11.39
202,Mogadouro,PT,2021-12-19 20:27:21,scattered clouds,41.3403,-6.7119,40.78,84,32,3.74
203,Coracao De Jesus,BR,2021-12-19 20:27:21,scattered clouds,-16.6853,-44.365,75.92,83,36,1.77
204,Kapaa,US,2021-12-19 20:27:22,light rain,22.0752,-159.319,79.12,74,40,8.01
205,Rio De Janeiro,BR,2021-12-19 20:23:42,few clouds,-22.9028,-43.2075,79.92,61,20,12.66
206,Kupang,ID,2021-12-19 20:27:22,overcast clouds,-10.1667,123.5833,80.19,85,100,4.07
207,Victoria,HK,2021-12-19 20:26:15,moderate rain,22.2855,114.1577,68.25,55,100,11.01
208,Khani,GE,2021-12-19 20:27:23,overcast clouds,41.9563,42.9566,38.77,80,100,3.65
209,Pontal Do Parana,BR,2021-12-19 20:27:23,few clouds,-25.6533,-48.5128,82.72,60,13,6.31
210,Shirokiy,RU,2021-12-19 20:27:23,light snow,49.758,129.523,0.1,98,100,7.52
211,Bambous Virieux,MU,2021-12-19 20:27:24,scattered clouds,-20.3428,57.7575,79.21,83,40,5.75
212,Buldana,IN,2021-12-19 20:27:24,clear sky,20.5333,76.1833,57.58,31,0,1.23
213,Bethel,US,2021-12-19 20:27:25,clear sky,41.3712,-73.414,37.04,62,1,3.0
214,Augustow,PL,2021-12-19 20:27:25,overcast clouds,53.8432,22.9798,34.5,76,100,13.85
215,Hargeysa,SO,2021-12-19 20:27:25,scattered clouds,9.56,44.065,60.71,95,28,9.93
